Reservoir,Year,Date,FLOWAVG_cmn,FLOWAVG_cms,FLOWMDN_cmn,FLOWMDN_cms,FLOWSUM_cmd,FLOWSE_cmn,FLOWSE_cms,RTIME_days,WTEMP_C
FCR,2014,2014-06-11 12:00:00,5.927979604,0.09879966,5.792588474,0.096543141,8536.29063,0.039121213,0.00065202,36.31594875,20.380625
FCR,2014,2014-06-12 12:00:00,5.88002925,0.098000488,5.890168107,0.098169468,8467.242121,0.014978687,0.000249645,36.49642481,20.28927083
FCR,2014,2014-06-13 12:00:00,5.753707007,0.095895117,5.776374439,0.096272907,8285.33809,0.010394066,0.000173234,37.28668945,20.54604167
FCR,2014,2014-06-14 12:00:00,5.712878424,0.09521464,5.703587952,0.095059799,8226.54493,0.009008053,0.000150134,37.55025139,20.51
FCR,2014,2014-06-15 12:00:00,5.585696674,0.093094945,5.598955315,0.093315922,8043.403211,0.010252244,0.000170871,38.40858559,20.8290625
FCR,2014,2014-06-16 12:00:00,5.628902729,0.093815045,5.639128479,0.093985475,8105.61993,0.013759732,0.000229329,38.12316074,21.52020833
FCR,2014,2014-06-17 12:00:00,5.709597221,0.095159954,5.655222,0.0942537,8221.819999,0.042521406,0.00070869,37.71883263,21.785625
FCR,2014,2014-06-18 12:00:00,5.712968353,0.095216139,5.695516303,0.094925272,8226.674428,0.013457708,0.000224295,37.56060099,22.02458333
FCR,2014,2014-06-19 12:00:00,5.679990264,0.094666504,5.679387205,0.094656453,8179.185981,0.010148157,0.000169136,37.77018608,22.1715625
FCR,2014,2014-06-20 12:00:00,5.700680388,0.09501134,5.695516303,0.094925272,8208.979758,0.013300079,0.000221668,37.64112401,22.13760417
FCR,2014,2014-06-21 12:00:00,5.692211086,0.094870185,5.679387205,0.094656453,8196.783963,0.01239813,0.000206635,37.69413126,22.12875
FCR,2014,2014-06-22 12:00:00,5.496369691,0.091606162,5.502909289,0.091715155,7914.772356,0.010168445,0.000169474,39.03281054,22.195
FCR,2014,2014-06-23 12:00:00,5.389766284,0.089829438,5.391511578,0.089858526,7761.263449,0.009303276,0.000155055,39.80322629,22.24895833
FCR,2014,2014-06-24 12:00:00,5.531446021,0.092190767,5.566882566,0.092781376,7965.28227,0.016622555,0.000277043,38.80657665,22.891875
FCR,2014,2014-06-25 12:00:00,5.662779853,0.094379664,5.663272324,0.094387872,8154.402989,0.014071815,0.00023453,37.89558434,23.4425
FCR,2014,2014-06-26 12:00:00,5.643615045,0.094060251,5.647171676,0.094119528,8126.805665,0.010697378,0.00017829,38.01505374,23.48875
FCR,2014,2014-06-27 12:00:00,5.656695242,0.094278254,5.663272324,0.094387872,8145.641149,0.01338562,0.000223094,37.93455855,23.67135417
FCR,2014,2014-06-28 12:00:00,5.671543176,0.09452572,5.679387205,0.094656453,8167.022174,0.009062597,0.000151043,37.82432103,23.63635417
FCR,2014,2014-06-29 12:00:00,5.668815696,0.094480262,5.679387205,0.094656453,8163.094602,0.00815116,0.000135853,37.84066411,22.91895833
FCR,2014,2014-06-30 12:00:00,5.66955746,0.094492624,5.663272324,0.094387872,8164.162742,0.009674237,0.000161237,37.8387251,23.41104167
FCR,2014,2014-07-01 12:00:00,5.68253288,0.094708881,5.679387205,0.094656453,8182.847348,0.010593061,0.000176551,37.75425479,24.05989583
FCR,2014,2014-07-02 12:00:00,5.740562166,0.095676036,5.735902903,0.095598382,8266.409519,0.010464225,0.000174404,37.37209175,24.41989583
FCR,2014,2014-07-03 12:00:00,6.557204964,0.109286749,6.037487976,0.1006248,9442.375149,0.145164195,0.002419403,33.80841905,23.51697917
FCR,2014,2014-07-04 12:00:00,5.983526234,0.099725437,5.955501308,0.099258355,8616.277777,0.019280035,0.000321334,35.87815065,22.74208333
FCR,2014,2014-07-05 12:00:00,5.740403437,0.095673391,5.743988725,0.095733145,8266.180949,0.006891522,0.000114859,37.36649607,22.486875
FCR,2014,2014-07-06 12:00:00,5.687494026,0.094791567,5.679387205,0.094656453,8189.991397,0.009043028,0.000150717,37.71799852,22.85239583
